"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Greylag Goose","Anser anser",,"Sunny Tseng",2025-05-07,07:00,"Zuvintas Biosphere",Lithuania,54.4573,23.6364,80,call,"Audio processed by -3dB normalization and 300 Hz (6dB) high-pass filter",,1152263,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Greylag Goose","Anser anser",,"Stephan Risch",2024-06-20,17:00,"Kintai Fish Ponds S near Suvernai",Lithuania,,,0,call,,,921890,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Whooper Swan","Cygnus cygnus",,"Sunny Tseng",2025-05-07,16:00,"Zuvintas Biosphere (lake shore)",Lithuania,54.461,23.6435,80,call,"Audio processed by high-pass filter (300 Hz 6dB) and normalization (-3dB)",,1152320,https://creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Sunny Tseng",2025-05-11,07:00,"Nida (reed area)",Lithuania,55.3117,21.0123,0,call,"Audio processed by normalization (-3dB) and high-pass filter (300 Hz, 6dB). ",,1152613,https://creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Igoris S.",2024-04-06,21:00,"Kintų seniūnija (near  Sakūčiai), Šilutė District Municipality, Klaipėda County",Lithuania,55.4448,21.377,0,"alarm call","Normalized with -3 dB in order to make it louder.","Porzana porzana",896527,https://creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Sunny Tseng",2025-05-03,08:00,"Vilnius forest ",Lithuania,54.8457,25.3958,150,call,"Audio processed by Audacity: 3dB normalization and 300 Hz (6dB) high-pass filter",,1151581,https://creativecommons.org/licenses/by-nc-sa/4.0/
"European Nightjar","Caprimulgus europaeus",europaeus,"Lars Lachmann",2015-05-21,22:26,"Nemunas Delta area, Lithuania",Lithuania,55.3617,21.2163,0,song,"end of one strophe and complete second strophe","Turdus philomelos,Luscinia luscinia",245716,https://creativecommons.org/licenses/by-nc-sa/4.0/
"European Nightjar","Caprimulgus europaeus",europaeus,"Lars Lachmann",2015-05-21,22:23,"Nemunas Delta area, Lithuania",Lithuania,55.3617,21.2163,0,song,"very long strophe of song, very beginning is missing, but recorded part is 2:13 mins without break",,245715,https://creativecommons.org/licenses/by-nc-sa/4.0/
"European Nightjar","Caprimulgus europaeus",europaeus,"Lars Lachmann",2015-05-21,22:20,"Nemunas Delta area, Lithuania",Lithuania,55.3617,21.2163,0,"flight call, song, wing flapping","end of a strophe with bird taking off while singing with reduced speed and with wing flapping",,245712,https://creativecommons.org/licenses/by-nc-sa/4.0/
"Common Swift","Apus apus",,AFR,2017-07-28,11:00,"Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis",Lithuania,54.6865,25.2881,100,"flight call",,,384545,https://creativecommons.org/licenses/by-nc-sa/4.0/
